Time,RAW_U,RAW_V,RAW_W
3.16,0.34689,-0.03996,0.01879
3.17,0.3273,-0.04253,0.02039
3.18,0.3452,-0.02726,0.0225
3.19,0.341,-0.02788,0.0224
3.2,0.3285,-0.01379,0.028
3.21,0.35715,0.0078,0.02945
3.22,0.35042,0.0238,0.03032
3.23,0.34806,0.01875,0.02536
3.24,0.60253,0.04723,-0.04292
3.25,0.48222,0.05067,-0.01596
3.26,0.39861,0.03553,0.00362
3.27,0.36891,0.02862,0.01841
3.28,0.37076,0.02336,0.01765
3.29,0.36143,0.02128,0.00827
3.3,0.34466,0.00164,0.00278
3.31,0.33203,0.00582,-0.00106
3.32,0.33227,0.00126,0.00367
3.33,0.30658,0.00068,0.01248
3.34,0.30794,0.02314,0.01944
3.35,0.31857,0.02017,0.01982
3.36,0.33398,0.02044,0.01796
3.37,0.34709,0.02342,0.02073
3.38,0.3564,0.02536,0.02111
3.39,0.3657,0.0273,0.0215
3.4,0.34565,0.0348,0.01545
3.41,0.32468,0.03215,0.00803
3.42,0.34484,0.02402,0.00152
3.43,0.34492,0.03106,-0.00234
3.44,0.34796,0.01188,0.00083
3.45,0.33973,-0.00186,-0.00848
3.46,0.32037,-0.00448,-0.01064
3.47,0.29539,-0.01769,-0.00342
3.48,0.28844,-0.03905,0.00269
3.49,0.28932,-0.03882,0.0092
3.5,0.2902,-0.0386,0.0157
3.51,0.29585,-0.0274,0.0158
3.52,0.3015,-0.0162,0.0159
3.53,0.3089,-0.0218,0.0176
3.54,0.2941,-0.0215,0.01895
3.55,0.3078,-0.00135,0.02287
3.56,0.0417,-0.01213,-0.04652
3.57,0.179,-0.01367,-0.02031
3.58,0.24165,-0.01643,-0.00956
3.59,0.3043,-0.0192,0.0012
3.6,0.3049,-0.0404,0.0049
3.61,0.28245,-0.0341,0.00055
3.62,0.27837,-0.02725,0.00053
3.63,0.27019,-0.02022,0.00081
3.64,0.27494,-0.01681,0.00485
3.65,0.27487,-0.02275,0.01047
3.66,0.25073,-0.03687,0.01213
3.67,0.25606,-0.04924,0.00927
3.68,0.26698,-0.04762,0.00883
3.69,0.29699,-0.02326,0.01471
3.7,0.29924,0.00392,0.01476
3.71,0.29997,-0.01164,0.01303
3.72,0.30699,-0.00067,0.01201
3.73,0.31679,0.00386,0.00851
3.74,0.31925,0.00433,0.01426
3.75,0.34318,-0.00023,0.01863
3.76,0.32684,-0.00656,0.01797
3.77,0.33487,-0.01293,0.02119
3.78,0.35008,-0.03377,0.01754
3.79,0.33319,-0.04539,0.01462
3.8,0.32159,-0.03035,0.00841
3.81,0.32259,-0.00902,0.00476
3.82,0.30915,-0.01366,-0.00407
3.83,0.32567,-0.02288,-0.01124
3.84,0.33488,-0.03199,-0.02007
3.85,0.32369,-0.02569,-0.01919
3.86,0.36589,-0.01645,-0.02625
3.87,0.34974,-0.03632,-0.03252
3.88,0.33362,-0.04491,-0.03046
3.89,0.33271,-0.05555,-0.03043
3.9,0.3249,-0.05092,-0.03021
3.91,0.3361,-0.04476,-0.02871
3.92,0.33435,-0.03193,-0.02995
3.93,0.31698,-0.04161,-0.02668
3.94,0.32839,-0.04551,-0.02649
3.95,0.29004,-0.0544,-0.01804
3.96,0.30472,-0.044,-0.01867
3.97,0.30741,-0.043,-0.02014
3.98,0.31756,-0.03685,-0.02317
3.99,0.32003,-0.02318,-0.01884
4.0,0.34071,-0.02434,-0.01342
4.01,0.3381,-0.03342,-0.00581
4.02,0.3435,-0.01391,-0.00615
4.03,0.33075,0.00709,-0.00317
4.04,0.32447,0.0152,-0.00094
4.05,0.33933,0.0013,0.00528
4.06,0.34486,-0.00705,0.01014
4.07,0.35318,-0.00903,0.01362
4.08,0.36854,-0.00526,0.01151
4.09,0.36132,-0.00193,-0.00089
4.1,0.33791,0.02423,-0.00745
4.11,0.3271,0.02171,0.00343
4.12,0.3293,0.01636,-0.00508
4.13,0.3288,0.02913,-0.01204
4.14,0.3151,0.02686,-0.01837
4.15,0.3148,0.01878,-0.02133
4.16,0.3145,0.0107,-0.0243
4.17,0.3348,0.0206,-0.0226
4.18,0.321,0.01235,-0.0203
4.19,0.34855,0.02303,-0.0213
4.2,0.34208,-0.00849,-0.0247
4.21,0.32954,-0.00609,-0.0232
4.22,0.317,-0.0037,-0.0217
4.23,0.32505,-0.01025,-0.0178
4.24,0.33898,-0.01118,-0.01615
4.25,0.35464,-0.00394,-0.02058
4.26,0.35962,-0.00207,-0.02174
4.27,0.35206,-0.00018,-0.02692
4.28,0.33328,-0.00359,-0.02396
4.29,0.33754,-0.01724,-0.02283
4.3,0.32932,-0.02717,-0.02211
4.31,0.34426,-0.02738,-0.02396
4.32,0.3592,-0.0276,-0.0258
4.33,0.35445,-0.00655,-0.02015
4.34,0.37723,-0.02048,-0.02318
4.35,0.37487,-0.03169,-0.02179
4.36,0.38318,-0.03225,-0.02094
4.37,0.36594,-0.02287,-0.01522
4.38,0.35952,-0.00824,-0.00646
4.39,0.36221,-0.01782,-0.00088
4.4,0.3649,-0.0274,0.0047
4.41,0.36355,-0.0244,-0.0005
4.42,0.35602,-0.0193,-0.0043
4.43,0.34671,-0.03405,-0.00595
4.44,0.34676,-0.03267,-0.00797
4.45,0.3468,-0.0313,-0.01
4.46,0.3489,-0.0379,-0.0089
4.47,0.3485,-0.0307,-0.011
4.48,0.35655,-0.0106,-0.01035
4.49,0.32412,0.02315,-0.00792
4.5,0.55371,0.01997,-0.06726
4.51,0.42421,-0.00491,-0.03273
4.52,0.35975,0.01384,-0.01482
4.53,0.2953,0.0326,0.0031
4.54,0.3507,-0.0008,-0.0074
4.55,0.3226,0.0117,-0.0112
4.56,0.2812,-0.0362,-0.0049
4.57,0.3126,0.00695,0.00175
4.58,0.3191,-0.00278,0.00187
4.59,0.32085,-0.00399,-0.00131
4.6,0.35073,0.00851,-0.00875
4.61,0.32986,0.0203,-0.01263
4.62,0.35413,0.00785,-0.01956
4.63,0.36401,-0.00063,-0.01933
4.64,0.3612,0.00648,-0.02187
4.65,0.34125,0.01184,-0.02228
4.66,0.34942,0.02727,-0.01984
4.67,0.3576,0.0427,-0.0174
4.68,0.35955,0.037,-0.02555
4.69,0.36662,0.0415,-0.02788
4.7,0.35406,0.0526,-0.02699
4.71,0.34988,0.04545,-0.02704
4.72,0.35819,0.03918,-0.02717
4.73,0.34225,0.02134,-0.02738
4.74,0.32253,0.01587,-0.02639
4.75,0.32896,0.02323,-0.02474
4.76,0.31438,0.00966,-0.02142
4.77,0.30434,-0.00232,-0.01051
4.78,0.06242,-0.00106,0.05684
4.79,0.19776,0.00567,0.02412
4.8,0.24793,0.00568,0.01671
4.81,0.29727,0.00379,0.003
4.82,0.31973,0.0006,-0.00215
4.83,0.31072,0.0064,-0.00228
4.84,0.32016,0.0096,0.00301
4.85,0.33298,-0.02105,0.00676
4.86,0.33084,-0.01517,0.00128
4.87,0.32297,-0.01658,-0.00671
4.88,0.3151,-0.018,-0.0147
4.89,0.2945,-0.01245,-0.00575
4.9,0.30385,-0.00402,0.00192
4.91,0.3132,0.0044,0.0096
4.92,0.29815,0.0113,0.0122
4.93,0.29223,0.0267,0.0158
4.94,0.27607,0.0244,0.02155
4.95,0.28563,0.02815,0.02477
4.96,0.28676,0.02502,0.02649
4.97,0.2879,0.0219,0.0282
4.98,0.30155,0.0198,0.0244
4.99,0.30068,0.02285,0.02145
5.0,0.28354,0.01937,0.01912
5.01,0.27777,0.01919,0.01356
5.02,0.28904,0.01559,0.00978
5.03,0.28902,0.01044,0.00524
5.04,0.289,0.0053,0.0007
5.05,0.2763,0.0128,0.00315
5.06,0.2636,0.0203,0.0056
5.07,0.25825,0.01975,0.00555
5.08,0.2529,0.0192,0.0055
5.09,0.024,-0.0022,0.0728
5.1,0.17965,0.00245,0.04445
5.11,0.27508,0.01298,0.01608
5.12,0.30414,0.04304,-0.00306
5.13,0.31757,0.05592,-0.01558
5.14,0.33098,0.02466,-0.03119
5.15,0.33464,0.00933,-0.03954
5.16,0.3383,-0.006,-0.0479
5.17,0.30535,-0.02145,-0.0199
5.18,0.29402,-0.01263,-0.00045
5.19,0.2827,-0.0038,0.019
5.2,0.3006,-0.0191,0.0219
5.21,0.2863,-0.0271,0.0187
5.22,0.2988,-0.0367,0.02595
5.23,0.2943,-0.04215,0.02243
5.24,0.326,-0.02948,0.01836
5.25,0.3254,-0.00144,0.00813
5.26,0.3416,0.02678,-0.00513
5.27,0.3451,0.01679,-0.00417
5.28,0.3583,0.00809,-0.01043
5.29,0.3696,-0.01685,-0.00881
5.3,0.3568,-0.02633,-0.00925
5.31,0.36085,-0.02497,-0.00192
5.32,0.37887,-0.02454,-0.00676
5.33,0.3969,-0.0241,-0.0116
5.34,0.3852,-0.0191,-0.01925
5.35,0.38225,0.00255,-0.01822
5.36,0.37707,-0.00428,-0.01736
5.37,0.36679,-0.00804,-0.01433
5.38,0.36994,0.00078,-0.01422
5.39,0.39707,0.00084,-0.02801
5.4,0.4242,0.0009,-0.0418
5.41,0.4148,-0.03575,-0.06545
5.42,0.4054,-0.0724,-0.0891
5.43,0.37195,-0.0438,-0.06875
5.44,0.3385,-0.0152,-0.0484
5.45,0.3929,-0.0632,-0.0377
5.46,0.35235,-0.05855,-0.04035
5.47,0.33308,-0.04908,-0.04367
5.48,0.33379,-0.04649,-0.04569
5.49,0.3534,-0.02294,-0.04739
5.5,0.3523,-0.02462,-0.04419
5.51,0.3477,-0.00651,-0.04619
5.52,0.3185,-0.02415,-0.03585
5.53,0.3098,-0.03288,-0.02017
5.54,0.3297,-0.05239,-0.00224
5.55,0.35475,-0.05509,0.01253
5.56,0.62723,-0.03685,-0.04764
5.57,0.48711,-0.05837,-0.01722
5.58,0.39975,-0.07669,-0.00876
5.59,0.3124,-0.095,-0.0003
5.6,0.35185,-0.0973,-0.01195
5.61,0.34482,-0.07855,-0.02042
5.62,0.35541,-0.05067,-0.01836
5.63,0.37865,-0.04288,-0.01323
5.64,0.40673,-0.04044,-0.01067
5.65,0.38477,-0.02307,-0.01424
5.66,0.36018,-0.02704,-0.01932
5.67,0.36774,-0.02852,-0.02281
5.68,0.36962,-0.03481,-0.0262
5.69,0.38521,-0.03671,-0.02845
5.7,0.40331,-0.0385,-0.03118
5.71,0.39931,-0.03525,-0.03024
5.72,0.38865,-0.06162,-0.03007
5.73,0.38582,-0.08351,-0.02174
5.74,0.40576,-0.06915,-0.01717
5.75,0.4257,-0.0548,-0.0126
5.76,0.3857,-0.0454,-0.01775
5.77,0.3727,-0.0451,-0.00652
5.78,0.37295,-0.0649,0.00079
5.79,0.12777,-0.05505,0.0651
5.8,0.24829,-0.04383,0.02595
5.81,0.31554,-0.01137,0.00653
5.82,0.34822,-0.00683,0.00132
5.83,0.38301,-0.00327,-0.00124
5.84,0.37666,0.00292,-0.00832
5.85,0.36913,0.01806,-0.01661
5.86,0.36611,0.02873,-0.0228
5.87,0.3676,0.01666,-0.02385
5.88,0.3691,0.0046,-0.0249
5.89,0.38005,5e-05,-0.0086
5.9,0.37362,-0.01177,-0.0068
5.91,0.3672,-0.0236,-0.005
5.92,0.3943,-0.0213,-0.01895
5.93,0.3893,-0.0105,-0.03308
5.94,0.3843,0.0003,-0.0472
5.95,0.3734,-0.01425,-0.04055
5.96,0.3625,-0.0288,-0.0339
5.97,0.39375,-0.02085,-0.0403
5.98,0.40118,-0.02372,-0.05265
5.99,0.38589,-0.02196,-0.05772
6.0,0.38194,-0.05188,-0.05081
6.01,0.36502,-0.02309,-0.0347
6.02,0.37796,-0.0059,-0.03145
6.03,0.38613,0.0076,-0.03342
6.04,0.38977,0.01675,-0.03711
6.05,0.39953,0.03078,-0.04491
6.06,0.34852,0.02279,-0.04935
6.07,0.31346,-0.02075,-0.03977
6.08,0.33108,-0.01288,-0.02708
6.09,0.37664,-0.00549,-0.02759
6.1,0.36342,0.01476,-0.0388
6.11,0.3502,0.035,-0.05
6.12,0.3617,0.0162,-0.0512
6.13,0.3318,0.0372,-0.04805
6.14,0.3637,0.03985,-0.04238
6.15,0.3671,0.01502,-0.03899
6.16,0.3705,-0.0098,-0.0356
6.17,0.3692,-0.0059,-0.0321
6.18,0.3679,-0.002,-0.0286
6.19,0.3705,0.0204,-0.0373
6.2,0.3586,0.00885,-0.03365
6.21,0.33665,0.01843,-0.02508
6.22,0.34568,0.00931,-0.01829
6.23,0.3547,0.0002,-0.0115
6.24,0.3719,0.00805,-0.02075
6.25,0.3462,0.01578,-0.02107
6.26,0.3651,0.01129,-0.02164
6.27,0.3657,-0.01511,-0.02957
6.28,0.3649,-0.00545,-0.03388
6.29,0.3552,0.00108,-0.03044
6.3,0.3693,-0.02506,-0.02592
6.31,0.368,-0.01898,-0.02396
6.32,0.3766,-0.00779,-0.02398
6.33,0.38195,-0.00245,-0.02679
6.34,0.3873,0.0029,-0.0296
6.35,0.3851,-0.0157,-0.0395
6.36,0.3468,-0.0177,-0.0482
6.37,0.3503,0.00855,-0.0452
6.38,0.3475,0.03803,-0.0432
6.39,0.3337,0.03356,-0.03705
6.4,0.34595,0.02648,-0.02898
6.41,0.3582,0.0194,-0.0209
6.42,0.61775,0.0065,-0.08625
6.43,0.47757,0.0048,-0.04892
6.44,0.38799,0.032,-0.03356
6.45,0.35169,0.03445,-0.02648
6.46,0.3393,0.02652,-0.01924
6.47,0.3459,0.01916,-0.02027
6.48,0.3571,0.00063,-0.02133
6.49,0.3855,-0.00813,-0.02621
6.5,0.35895,-0.00296,-0.03236
6.51,0.3324,0.0022,-0.0385
6.52,0.32255,-0.0135,-0.0268
6.53,0.30502,-0.03205,-0.02205
6.54,0.32261,-0.05007,-0.02117
6.55,0.3403,-0.03909,-0.02404
6.56,0.3129,-0.03535,-0.02907
6.57,0.301,-0.02368,-0.02868
6.58,0.28615,-0.04484,-0.02389
6.59,0.26582,-0.05282,-0.01575
6.6,0.25956,-0.05236,-0.00383
6.61,0.28453,-0.05588,0.00779
6.62,0.30577,-0.02869,0.01299
6.63,0.33779,-0.00064,0.01124
6.64,0.35069,0.00128,-0.00273
6.65,0.35859,-0.00241,-0.01252
6.66,0.34759,0.0133,-0.01931
6.67,0.3267,-0.00255,-0.01971
6.68,0.3058,-0.0184,-0.0201
6.69,0.3249,-0.01385,-0.01555
6.7,0.3495,-0.01798,-0.01862
6.71,0.3741,-0.0221,-0.0217
6.72,0.3735,-0.0269,-0.02615
6.73,0.37705,-0.02305,-0.02443
6.74,0.36652,-0.03083,-0.02822
6.75,0.36421,-0.03571,-0.03226
6.76,0.36555,-0.0281,-0.02978
6.77,0.34808,-0.0372,-0.02924
6.78,0.3306,-0.0463,-0.0287
6.79,0.33315,-0.0118,-0.01175
6.8,0.35662,0.0305,-0.01058
6.81,0.35526,0.0298,-0.00844
6.82,0.3539,0.0291,-0.0063
6.83,0.3297,0.0424,-0.001
6.84,0.3646,-0.0058,0.0028
6.85,0.3585,-0.0283,-0.0037
6.86,0.3528,-0.03505,-0.0098
6.87,0.3467,-0.03338,-0.01375
6.88,0.33435,-0.02384,-0.01118
